merchant_name,category,random_products,merchant_description
"Holland Bakery, Tropodo",Roti,"['Kelapa Pandan Pudding Log', 'Roti Kentang Keju Manis', 'Sausage Brood', 'Roti Sosis Sapi', 'Coklat Hati Toples Segi 4']","Holland Bakery, Tropodo adalah toko roti yang menikmati reputasi sebagai tempat favorit untuk berbagai kue dan roti lezat. Dengan pilihan produk seperti Roti Kentang Keju Manis dan Sausage Brood, setiap gigitan menyuguhkan kelezatan yang tak terlupakan. Temukan juga variasi manis yang menggoda seperti Kelapa Pandan Pudding Log dan Coklat Hati Toples Segi 4, menjadikan pengalaman berbelanja Anda semakin menyenangkan."
Holywings Gold Basra,Aneka nasi/Ayam & bebek,"['Nasi Telur Cinta', 'Chicken Wings Garlic Soy 6pcs', 'Sambal Bawang', 'Sababay Moscato de Bali', 'Holy Bites Party Pack']","Holywings Gold Basra menawarkan aneka hidangan nasi, ayam, dan bebek yang menggugah selera. Dengan kombinasi rasa yang kaya dan berkualitas, setiap hidangan diracik untuk memberikan pengalaman kuliner yang tak terlupakan. Nikmati pilihan menu kami yang beragam, mulai dari Nasi Telur Cinta hingga Chicken Wings Garlic Soy yang lezat."
"Holywings, Kertajaya",Aneka nasi,"['Chicken Wings Salted Egg 6pcs', 'Jose Cuervo Especial Reposado', 'Sambal Manado', 'Chicken Wings Garlic Soy 12pcs', 'Chicken Wings Spicy Korean 6pcs']","Holywings Kertajaya adalah destinasi kuliner yang menyajikan aneka hidangan nasi yang menggugah selera, dipadukan dengan berbagai varian chicken wings yang unik dan lezat. Nikmati sensasi rasa yang berbeda dengan produk seperti Chicken Wings Salted Egg dan Chicken Wings Spicy Korean, serta minuman berkualitas seperti Jose Cuervo Especial Reposado. Pengalaman makan Anda akan semakin sempurna dengan tambahan sambal khas, Sambal Manado, yang memberi sentuhan pedas menggoda."
IZZA kitchen,Sweets,"['Brownies Keju Toping Keju', 'Brownies Keju Toping Coklat', 'Salad Buah Original Coklat Serut 300 ml', 'Salad Buah Original Keju Serut 300 ml', 'Brownies Coklat Toping Almond']","IZZA Kitchen adalah toko yang menawarkan berbagai pilihan camilan manis yang menggugah selera, khususnya dalam kategori Sweets. Nikmati kelezatan brownies yang kaya rasa, seperti Brownies Keju Toping Coklat dan Brownies Coklat Toping Almond, serta segar dan sehatnya salad buah dengan variasi topping yang menggoda. Setiap produk dibuat dengan bahan berkualitas untuk memanjakan lidah Anda."
"Iconic Jajanan, Sambikerep",Minuman/Aneka nasi/Jajanan,"['Lumpia Ayam', 'Cendol Pandan', 'Salad Buah', 'Choco Silky Puding Vla', 'Siomay Ayam']","Iconic Jajanan di Sambikerep hadir sebagai destinasi kuliner yang menyajikan beragam minuman, aneka nasi, dan jajanan khas yang menggugah selera. Dengan pilihan lezat seperti Lumpia Ayam yang renyah, Cendol Pandan yang segar, serta Siomay Ayam yang menggoda, setiap kunjungan akan menjadi pengalaman kuliner yang tak terlupakan. Nikmati juga aneka makanan lainnya yang siap memanjakan lidah Anda!"
Ikan Bakar Dewata,Seafood,"['Ayam Goreng Aroma', 'Paket Family 1', 'Tahu / Tempe Penyet', 'Es Batu', 'Paket 4']","Ikan Bakar Dewata menyajikan berbagai hidangan seafood segar yang diolah dengan bumbu khas, menawarkan pengalaman kuliner yang tak terlupakan. Selain itu, menu kami juga mencakup pilihan lain seperti Ayam Goreng Aroma dan Paket Family 1 yang cocok untuk berkumpul bersama keluarga. Nikmati beragam cita rasa yang menggugah selera di Ikan Bakar Dewata."
Ikon,Jepang/Cepat saji/Barat,"['Mixed Steak  (Beef, Chicken, Sausage)', 'Imported Rib Eye', 'Imported Sirloin', 'Chicken', 'Imported Tenderloin']","Ikon adalah toko cepat saji yang mengusung cita rasa Jepang dan Barat, menawarkan berbagai hidangan yang memanjakan lidah. Dengan pilihan menu seperti Mixed Steak, Imported Rib Eye, dan Imported Sirloin, pelanggan dapat menikmati kombinasi unik dari daging berkualitas tinggi yang disajikan dengan cepat dan lezat. Setiap hidangan dirancang untuk memberikan pengalaman makan yang memuaskan dan menyenangkan."
"Inna Roti, Jambangan",Roti,"['Sus vanila', 'RisolsMayo Frozen', 'Donat Kentang Original', 'Korean Donat Coklat', 'Marble Cake']","Inna Roti, Jambangan, adalah toko roti yang menyajikan berbagai pilihan cemilan lezat dan berkualitas. Dari Sus vanila yang manis dan lembut, hingga Donat Kentang Original yang mengenyangkan, setiap produk diolah dengan bahan terbaik untuk memuaskan selera Anda. Temukan pula variasi unik seperti Korean Donat Coklat dan risol mayo frozen yang siap menggugah selera!"
Jajan Toast,Jajanan/Roti,"['Matcha Milk', 'Croffle Bluebery', 'Strawberry Milk', 'Siomey Mercon', 'Vanila Regal']","Jajan Toast adalah toko yang menyajikan berbagai jajanan roti dan minuman segar yang menggugah selera. Dengan pilihan unik seperti Croffle Bluebery dan Matcha Milk, setiap produk kami dirancang untuk memberikan pengalaman rasa yang menyenangkan. Cocok untuk dinikmati saat santai atau sebagai teman perjalanan Anda!"
"Jiegwan Penyetan, Candi",Seafood/Ayam & bebek/Bakso & soto,"['Air Mineral', 'Sambal Terong', 'Cumi Cumi', 'Kopi', 'Mujair bakar']","Jiegwan Penyetan, Candi adalah destinasi kuliner yang menyajikan hidangan lezat dengan fokus pada seafood, ayam, bebek, bakso, dan soto. Nikmati berbagai menu khas yang menggugah selera, mulai dari cumi-cumi segar hingga mujair bakar yang penuh cita rasa. Lengkapi santapan Anda dengan sambal terong dan pilihan minuman seperti kopi dan air mineral untuk pengalaman makan yang sempurna."
"Jokopi, Dinoyo",Minuman/Cepat saji/Kopi,"['Es Kopi Susu Pisang', 'Es Kopi Susu Cokelat', 'Ekstra Kopi', 'Es Kopi Susu Blusukan', 'Es Kopi Susu Arang']","Jokopi, Dinoyo adalah tempat sempurna bagi pecinta kopi dan makanan cepat saji. Menawarkan berbagai pilihan minuman kopi yang unik dan menyegarkan, seperti Es Kopi Susu Pisang dan Es Kopi Susu Cokelat, Jokopi siap memuaskan selera Anda. Dengan cita rasa yang khas, setiap sruputan akan membawa pengalaman berbeda dalam menikmati kopi."
"Jokopi, Gwalk",Kopi/Cepat saji/Minuman,"['Es Kopi Susu Arum Manis', 'Es Kopi Susu Arum Manis', 'Es Kawista', 'Es Pisang Coklat Krim', 'Es Cokelat Susu Krim']","Jokopi Gwalk adalah destinasi sempurna bagi pencinta kopi dan minuman segar yang menawarkan berbagai pilihan cepat saji. Dengan menu andalan seperti Es Kopi Susu Arum Manis dan Es Kawista, setiap sip menjanjikan kelezatan yang menyegarkan. Nikmati juga variasi unik seperti Es Pisang Coklat Krim dan Es Cokelat Susu Krim untuk melengkapi pengalaman santap Anda."
"Joomba, Gwalk",Minuman,"['Supernuts', 'Watermelon Lychee Breeze', 'Berry Wild', 'Party Pack 4 Cup', 'Spang-Go']","Joomba Gwalk adalah toko minuman yang menawarkan berbagai pilihan segar dan menggugah selera. Dengan kategori minuman yang bervariasi, Anda bisa menikmati produk seperti Watermelon Lychee Breeze yang menyegarkan atau Berry Wild yang penuh rasa. Temukan juga pilihan menarik lainnya seperti Supernuts dan Party Pack 4 Cup untuk memeriahkan waktu berkumpul Anda."
"Joomba, Manyar Kertoarjo",Minuman,"['Paket Bundling A', 'Paket Jingle', 'Spang Go Small', 'Banana Bees', 'Paket Sejoli D']","Joomba Manyar Kertoarjo adalah tempat ideal untuk menikmati berbagai sajian minuman yang menyegarkan, cocok untuk menemani momen bersantai Anda. Dengan pilihan menarik seperti Paket Bundling A dan Paket Jingle, hingga Spang Go Small dan Banana Bees, setiap minuman di sini dibuat untuk memuaskan setiap selera. Rasakan pengalaman ngopi dan berkumpul yang lebih istimewa dengan Paket Sejoli D, yang dirancang untuk menciptakan kenangan manis bersama teman-teman."
"Jus Buah, Umma",Jajanan/Minuman/Cepat saji,"['Jus Sirsak', 'Jus Alpukat', 'Jus Alpukat Jumbo', 'Jus Buah Pear Jumbo', 'Jus Melon']","Umma adalah toko yang menawarkan berbagai pilihan jus buah segar dan lezat, cocok untuk kamu yang mencari camilan sehat dan menyegarkan. Dari Jus Sirsak yang kaya akan manfaat hingga Jus Alpukat Jumbo yang creamy, semua produk kami dibuat dari bahan berkualitas untuk memberikan pengalaman menikmati jus yang tak terlupakan. Temukan juga pilihan lainnya seperti Jus Melon dan Jus Buah Pear Jumbo yang pastinya akan memanjakan lidahmu."
K'bon Cafe,Cepat saji/Aneka nasi/Minuman,"['Wedhang Kopi Susu', 'Wedhang Kbon', 'Sosis Bakar', 'Juice Watermelon', 'Mie Level Kbon']","K'bon Cafe menawarkan pengalaman kuliner yang cepat saji dengan menu aneka nasi dan minuman segar. Nikmati cita rasa unik dari berbagai hidangan seperti Mie Level Kbon dan Wedhang Kbon, serta pilihan minuman menyegarkan seperti Juice Watermelon. Dengan suasana yang nyaman, K'bon Cafe menjadi tempat ideal untuk menikmati sajian lezat kapan pun."
KAFE ASIA KRIAN,Chinese/Jepang/Korea,"['Korean chick POPCORN', 'Katsu Barbeque Sauce (Tanpa Nasi)', 'Chiken Katsu Bento Set (Free Esteh)', 'Es Susu', 'Naruto Ramen']","KAFE ASIA KRIAN menyajikan berbagai hidangan lezat dengan nuansa ala Asia, menggabungkan cita rasa autentik dari China, Jepang, dan Korea. Nikmati pilihan menarik seperti Korean Chick Popcorn, Katsu Barbeque Sauce, dan Chiken Katsu Bento Set, yang akan memanjakan lidah Anda. Dengan suasana yang nyaman, KAFE ASIA KRIAN adalah tempat yang tepat untuk menikmati kuliner khas Asia yang menggugah selera."
KEBULI JORDAN SURABAYA,Aneka nasi/Cepat saji/Timur Tengah,"['BELI 5 LEBIH MURAH', 'Paket Combo Lebih Murah', 'Loyang Ayam Mini', 'Sambal Per Porsi', 'Teh Bos']","KEBULI JORDAN SURABAYA adalah pilihan tepat bagi Anda yang mencari aneka nasi cepat saji dengan cita rasa Timur Tengah. Dengan berbagai pilihan menu yang menggugah selera, kami menawarkan Paket Combo Lebih Murah dan berbagai sajian lainnya seperti Loyang Ayam Mini dan Sambal Per Porsi untuk melengkapi pengalaman kuliner Anda. Cicipi kelezatan masakan kami, termasuk Teh Bos yang menyegarkan, dan nikmati promo BELI 5 LEBIH MURAH untuk pengalaman makan yang lebih hemat!"
"KFC, Gempol City",Cepat saji,"['Krispy Burger', 'Golden Combo 1', 'Super Besar 4', 'Pudding', 'Perkedel']","KFC Gempol City adalah tempat ideal untuk menikmati makanan cepat saji yang lezat dan menggugah selera. Dengan berbagai pilihan menu seperti Krispy Burger dan Golden Combo 1, Anda akan dimanjakan dengan cita rasa yang khas. Jangan lupa untuk mencoba Pudding dan Perkedel sebagai pelengkap yang sempurna untuk hidangan Anda."
KIMMIE LOK-LOK,Jajanan/Seafood/Thailand,"['Go Pottato', 'Burger Original', 'SIOMAY KEPITING', 'SUSHI', 'UDANG']","KIMMIE LOK-LOK adalah destinasi kuliner yang menyajikan jajanan lezat dengan nuansa seafood khas Thailand. Nikmati berbagai pilihan menggugah selera seperti Siomay Kepiting yang lembut, Udang segar, dan Burger Original yang unik. Dengan perpaduan rasa yang otentik, setiap hidangan di KIMMIE LOK-LOK siap memanjakan lidah Anda."
"KOKUMI, Tunjungan Plaza",Minuman,"['Grape Dynamite', 'Unicorn Choco', 'Caramel Latte 1L', 'Cappucino', 'Lychee Kiwi Dynamite']","KOKUMI di Tunjungan Plaza adalah tempat yang sempurna untuk pecinta minuman unik dan menyegarkan. Dengan berbagai pilihan mulai dari kreasi manis seperti Grape Dynamite dan Unicorn Choco, hingga sajian kopi seperti Caramel Latte 1L dan Cappuccino, Anda pasti menemukan sesuatu yang sesuai dengan selera Anda. Nikmati kesegaran Lychee Kiwi Dynamite yang menggugah selera dan jadikan momen Anda lebih istimewa di KOKUMI."
"KOMOREBI, GWalk Citraland",Aneka nasi/Cepat saji/Jepang,"['1 Mentai + 1 Chicken Karage', 'Beef Sambel Ijo', '1 Tare + 1 Chicken Karage', 'Mozarella', 'Passion Fruit']","KOMOREBI di GWalk Citraland adalah pilihan tepat bagi pecinta masakan Jepang dan aneka nasi cepat saji. Kami menawarkan berbagai hidangan yang menggugah selera, mulai dari kombinasi klasik seperti Mentai dan Chicken Karage, hingga kreasi unik seperti Beef Sambel Ijo. Temukan cita rasa yang memuaskan dan kualitas yang terjaga di setiap sajian kami."
"KONOTORI, Manyar",Jepang/Jajanan/Aneka nasi,"['Beef Tsukemen Udon', 'Chicken Wings Korean Spicy', 'Chicken Wings Salty Chilli', 'Chicken Wing BBQ', 'Oishi 1']","KONOTORI, Manyar, adalah toko yang menyajikan berbagai jajanan khas Jepang dengan sentuhan rasa yang menggugah selera. Dengan fokus pada aneka nasi dan hidangan lezat seperti Beef Tsukemen Udon dan beragam pilihan sayap ayam, setiap gigitan menawarkan pengalaman kuliner yang otentik dan memuaskan. Temukan kombinasi sempurna antara cita rasa tradisional dan inovasi modern di setiap sajian kami."
"Kampoeng Roti, Manukan",Roti,"['Roti Cuplis Raspberry', 'Roti Blankon Blueberry', 'Roti Cuplis Vanilla', 'Roti Tawar Susu', 'Roti Keju Bakar']","Kampoeng Roti di Manukan menyajikan berbagai macam roti lezat yang akan memanjakan lidah Anda. Dengan pilihan produk yang menggugah selera seperti Roti Cuplis Raspberry dan Roti Tawar Susu, toko ini menawarkan kombinasi sempurna antara rasa dan tekstur. Jangan lewatkan kesempatan untuk menikmati kelezatan roti premium yang cocok untuk semua kesempatan."
"Kampoeng Roti, Wiyung",Roti,"['Sheep Character Cake', 'Bolu Gulung Pandan Keju', 'Roti Blueberry Coco', 'Donat Keju', 'Roti Cuplis Lemon']","Kampoeng Roti di Wiyung adalah toko roti yang menawarkan beragam kreasi roti dan kue yang menggugah selera. Dengan fokus pada kualitas bahan dan citarasa yang unik, produk-produk kami seperti Sheep Character Cake, Bolu Gulung Pandan Keju, dan Roti Blueberry Coco siap memanjakan lidah Anda. Temukan juga berbagai pilihan donat dan roti lainnya yang cocok untuk segala suasana!"
"Kampoeng Roti, Wonosari",Roti,"['Brownies Cappucino', 'Mc mint', 'Roti Pelangi', 'Mc vanilla', 'Upin Ipin Strawberry']","Kampoeng Roti di Wonosari adalah toko roti yang menawarkan beragam pilihan kue dan roti yang menggugah selera. Dari Brownies Cappucino yang kaya rasa hingga Roti Pelangi yang ceria, setiap produk dibuat dengan bahan berkualitas untuk memuaskan rasa penasaran Anda. Nikmati juga variasi rasa unik seperti Mc Mint dan Upin Ipin Strawberry yang menjadi favorit banyak pelanggan."
"Kampoeng Steak, Rungkut",Barat,"['Es Caramel Coklat', 'Jus Alpukat', 'Milkshake Spc Vanilla', 'Es Hazelnut Cokelat', 'Milkshake Spc Coklat']","Kampoeng Steak di Rungkut adalah destinasi kuliner yang menawarkan pengalaman bersantap yang unik dengan berbagai pilihan menu lezat. Tak hanya menyajikan steak berkualitas, kami juga memiliki beragam minuman segar seperti Es Caramel Coklat dan Jus Alpukat yang sempurna untuk menemani hidangan Anda. Dengan suasana yang nyaman, Kampoeng Steak adalah tempat ideal untuk menikmati momen berharga bersama teman dan keluarga."
"Kebab Bosman, Kenjeran",Jajanan,"['Siomay Goreng', 'Kebab Komplit Keju Buy 1 Plus 1', 'Boss 4 (Canai Cokelat Keju + Sosis Nugget + Pisang Cokelat Lumer)', 'Sosis Nugget', 'Canai Original']","Kebab Bosman di Kenjeran menawarkan berbagai jajanan lezat yang siap memuaskan selera Anda. Dari Kebab Komplit yang menggoda hingga Siomay Goreng yang renyah, setiap produk hadir dengan cita rasa yang khas. Jangan lewatkan juga sajian unik seperti Boss 4 yang menggabungkan kelezatan canai dengan isian menggugah selera."
"Kebab Bosman, Ngagel",Jajanan,"['French Fries Jumbo', 'Special Kebab Komplit Extra Keju', 'Original Burger Jumbo', 'Canai Original', 'Boss 2 (Black Kebab Jumbo Keju + Special Burger + Free Siomay Goreng)']","Kebab Bosman, Ngagel, adalah tempat yang tepat untuk para pecinta jajanan lezat dan cepat saji. Menawarkan beragam menu, mulai dari kebab istimewa hingga burger jumbo yang menggugah selera, kami siap memanjakan lidah Anda. Cobalah juga French Fries Jumbo dan Canai Original untuk melengkapi pengalaman santap Anda di sini."
"Kedai Budget, Dharmawangsa",Minuman/Cepat saji/Jajanan,"['Sosis Solo / Pcs', 'Tahu Pedas / Pcs', 'Risoles Rogut / Pcs', 'Risoles Mayo / Pcs', 'Pastel / Pcs']","Kedai Budget di Dharmawangsa menawarkan beragam minuman segar dan jajanan cepat saji yang siap memanjakan lidah Anda. Dengan pilihan menarik seperti Sosis Solo, Tahu Pedas, dan Risoles, setiap gigitan menghadirkan cita rasa yang menggugah selera dan cocok untuk dinikmati kapan saja. Temukan kelezatan praktis di Kedai Budget, tempat ideal untuk memenuhi kebutuhan camilan Anda!"
Kedai Es Juragan,Minuman/Bakso & soto/Bakmie,"['Paket Granat', 'Paket Peluru', 'Kebab Empal Jamur', 'Paket Campur', 'Sop Buah Kaldu Sirsak']","Kedai Es Juragan adalah tempat yang tepat untuk menikmati berbagai minuman segar dan hidangan lezat seperti bakso, soto, dan bakmie. Dengan berbagai pilihan paket yang menggugah selera seperti Paket Granat dan Paket Campur, serta variasi unik seperti Kebab Empal Jamur, kami siap memanjakan lidah Anda. Tidak ketinggalan, Sop Buah Kaldu Sirsak yang menyegarkan dapat melengkapi pengalaman kuliner Anda di kedai kami."
Kedai Kopi Kakak,Aneka nasi/Kopi/Minuman,"['Sate Jantung', 'Es Lychee Tea', 'Es Thai Tea', 'Kopi Susu Creamy', 'Kopi Susu Browny']","Kedai Kopi Kakak merupakan tempat yang sempurna bagi pencinta aneka nasi dan minuman kopi yang berkualitas. Dengan variasi menu yang menggugah selera, seperti Sate Jantung yang lezat dan kopi susu creamy yang mengenyangkan, kedai ini menawarkan pengalaman kuliner yang tak terlupakan. Nikmati pula minuman segar seperti Es Lychee Tea dan Es Thai Tea untuk menyempurnakan momen santai Anda."
Kedai MAREM JOYO,Ayam & bebek/Aneka nasi,"['Greentea', 'Es Teh', 'Nasi Campur', 'Nasi Goreng Udang', 'Stroberi']","Kedai MAREM JOYO menyajikan hidangan ayam dan bebek yang lezat, serta aneka nasi yang menggugah selera. Nikmati berbagai pilihan menu seperti Nasi Campur dan Nasi Goreng Udang yang pastinya memuaskan, ditambah dengan minuman segar seperti Greentea dan Es Teh untuk melengkapi pengalaman bersantap Anda. Temukan cita rasa otentik dalam setiap suapan di Kedai kami!"
Kedai Mama AL,Minuman/Jajanan/Aneka nasi,"['Jamur Crispy', 'Rujak Cireng', 'Kopi Hitam', 'Es Good Day Freez', 'Indomie Kare Ayam+Telur Ceplok+Cabe']","Kedai Mama AL adalah tempat yang tepat untuk menikmati beragam minuman segar dan jajanan nikmat di tengah kesibukan sehari-hari. Dari Jamur Crispy yang gurih hingga Kopi Hitam yang menggugah selera, setiap pilihan di sini dibuat dengan bahan berkualitas. Untuk penggemar nasi, jangan lewatkan Indomie Kare Ayam yang disajikan dengan telur ceplok dan cabe untuk pengalaman yang menggugah selera."
Kedai ReffTwo,Minuman/Bakmie/Jajanan,"['Pisang Crispy Ori', 'Ice Cappucino', 'Es Susu Cocopandan', 'Mie Petir ReffTwo', 'Mie Spaghetti ReffTwo']","Kedai ReffTwo adalah tempat yang tepat untuk memuaskan selera Anda dengan berbagai pilihan minuman, bakmie, dan jajanan yang menggugah selera. Nikmati kelezatan Pisang Crispy Ori yang renyah sambil menyegarkan diri dengan Ice Cappucino yang nikmat atau Es Susu Cocopandan yang menyegarkan. Untuk penggemar bakmie, cobalah Mie Petir ReffTwo atau Mie Spaghetti ReffTwo yang siap memanjakan lidah Anda di setiap suapan."
Kedai Teh Poci,Minuman/Kopi,"['Strawberry Pop', 'Waku-waku Choco Loop', 'Teh Poci Jasmine Kantong Jumbo', 'Teh Poci Starfruit', 'Milk Shake Vanilla (Dancow)']","Kedai Teh Poci adalah tempat yang sempurna untuk menikmati berbagai jenis minuman yang menyegarkan, mulai dari teh herbal yang berkualitas hingga olahan modern yang unik. Kategori minuman kami mencakup aneka pilihan menarik seperti Teh Poci Jasmine Kantong Jumbo yang harum, serta Milk Shake Vanilla (Dancow) yang creamy. Jangan lewatkan juga kreasi khas kami seperti Strawberry Pop dan Waku-waku Choco Loop untuk pengalaman yang berbeda dalam setiap tegukan."
"Kedai Toelis, Prambon",Cepat saji/Kopi/Minuman/Jajanan,"['Jus Melon', 'Pop Ice Durian', 'Chocolatos (Panas/Es)', 'Pop Ice Yogurt Strawberry', 'Es Nutrisari Sweet Guava (Jambu)']","Kedai Toelis di Prambon merupakan tempat yang ideal untuk menikmati berbagai pilihan cepat saji, kopi, dan minuman segar. Kami menawarkan jajanan yang menggugah selera, mulai dari jus melon yang menyegarkan hingga Pop Ice dengan berbagai rasa, termasuk durian dan yogurt strawberry. Nikmati juga pilihan produk lainnya seperti Chocolatos panas atau es, dan Es Nutrisari Sweet Guava yang cocok untuk menemani momen bersantai Anda."
"Keikpop, Bengawan",Sweets/Roti,"['Paket SNSD (Semua seNang Semua Doyan)', 'ChocoTown Cha Cha Cha', 'Paket Saranghaeyo..', 'Frestea Jasmine 350ml', 'Greeting Card']","Keikpop, Bengawan adalah tujuan utama bagi para pecinta Sweets dan Roti yang ingin merasakan kombinasi unik antara cita rasa manis dan sentuhan budaya K-pop. Dengan berbagai pilihan menarik seperti Paket SNSD dan ChocoTown Cha Cha Cha, setiap kunjungan akan memanjakan lidah Anda. Selain itu, nikmati juga minuman segar seperti Frestea Jasmine dan berbagi kebahagiaan lewat Greeting Card yang tersedia."
"Kim Boba Sidoarjo & My Croffle, Sidoarjo",Minuman/Kopi/Cepat saji,"['Pakhet ( Paket Hemat ) 4', 'Pakhet (Paket Hemat) 2', 'Kim Boba Signature Cheese Cream Rasa Red Velvet', 'My Croffle Rasa Spicy Korean Chicken', 'Kim Boba Signature Cheese Cream Rasa Brown Sugar']","Kim Boba Sidoarjo & My Croffle adalah tempat yang sempurna untuk menikmati berbagai minuman segar dan makanan cepat saji. Nikmati pilihan paket hemat seperti Pakhet 4 dan Pakhet 2, serta kreasi lezat seperti Kim Boba Signature Cheese Cream dengan rasa unik, termasuk Red Velvet dan Brown Sugar. Jangan lewatkan juga My Croffle dengan rasa Spicy Korean Chicken yang menggugah selera!"
Kopi Baik,Minuman/Kopi/Jajanan,"['Pink Lava', 'Original Croffle', 'Macchiato Hazelnut', 'Chocolate', 'Peanut Butter Croffle']","Kopi Baik adalah tempat yang sempurna untuk menikmati berbagai pilihan minuman kopi dan jajanan yang menggugah selera. Dengan menu yang bervariasi, mulai dari Macchiato Hazelnut yang kaya rasa hingga kesegaran Pink Lava, setiap kunjungan akan memberikan pengalaman baru. Cobalah juga Croffle unik kami, seperti Original Croffle dan Peanut Butter Croffle, yang menjadi teman sempurna untuk secangkir kopi Anda."
"Kopi Panggang, Manyar",Seafood/Chinese/Minuman,"['Es Jeruk', 'Es kopi Susu', 'Caramel Latte', 'Cookies And Cream', 'Jus buah Naga']","Kopi Panggang, Manyar, adalah tempat yang sempurna untuk menikmati hidangan seafood dan masakan Chinese yang lezat, dipadukan dengan pilihan minuman yang menyegarkan. Selain seafood yang menggugah selera, kami juga menawarkan variasi minuman seperti Es Jeruk dan Caramel Latte untuk melengkapi pengalaman kuliner Anda. Dengan suasana yang nyaman, setiap kunjungan dijamin memberikan kepuasan yang tiada tara."
Lanuli Mocktail,Minuman/Jajanan/Cepat saji,"['Honey Lime', 'Strawberry Orange Sweetnes', 'Orange Cocopandan Sparkle', 'Coffee Lemonade', 'Strawberry Fizzy']","Lanuli Mocktail adalah toko yang menyajikan berbagai minuman segar dan unik, khususnya dalam kategori mocktail dan jajan ringan. Dengan pilihan menarik seperti Honey Lime dan Strawberry Orange Sweetnes, setiap gelas diracik dengan bahan pilihan berkualitas untuk memberikan pengalaman rasa yang tak terlupakan. Temukan kesegaran dalam setiap gelas, mulai dari Orange Cocopandan Sparkle hingga inovasi menarik seperti Coffee Lemonade dan Strawberry Fizzy."
Lapis Srikandi,Roti,"['Brownies Cokelat Keju', 'ROTI BAKAR TERANG BULAN', 'Ice Green Tea Latte 16oz', 'ROTI KUKUS AYAM LEMPER', 'KERIPIK PEDAS BILIS']","Lapis Srikandi adalah toko yang mengusung berbagai macam roti dan camilan lezat, siap memuaskan selera Anda. Nikmati kelezatan Brownies Cokelat Keju dan Roti Bakar Terang Bulan yang sempurna untuk kapan saja, serta berbagai pilihan unik seperti Roti Kukus Ayam Lemper dan Keripik Pedas Bilis. Temukan rasa favorit Anda dalam setiap gigitan di sini!"
Larissa Bakery,Jajanan/Pizza & pasta/Roti,"['Black Forest', 'Cake Black Forest', 'Muffin', 'Paket Donat Isi 4', 'Paket Rame Rame']","Larissa Bakery adalah tempat yang sempurna untuk menikmati berbagai jajanan, mulai dari pizza dan pasta hingga roti yang fresh. Kami menyajikan berbagai pilihan lezat seperti Black Forest yang menggoda dan muffin yang lembut, serta paket donat isi 4 yang ideal untuk berbagi. Setiap produk kami dibuat dengan cinta dan bahan berkualitas, memastikan pengalaman rasa yang tak terlupakan."
"Laritta Bakery, Manukan",Roti,"['Pudding Oreo', 'Nastar', 'Cheese Cream Cake', 'Pisang Keju', 'Cheese Pastry Stick']","Laritta Bakery, yang terletak di Manukan, menawarkan berbagai macam roti dan kue lezat yang siap memanjakan lidah Anda. Dengan pilihan produk seperti Pudding Oreo, Nastar, dan Cheese Cream Cake, setiap gigitan memberikan rasa yang menggugah selera dan kualitas yang terjamin. Nikmati juga cemilan praktis seperti Pisang Keju dan Cheese Pastry Stick yang cocok untuk setiap momen bersama keluarga dan teman."
"Lazizaa, Kemangsen Krian",Ayam & bebek/Aneka nasi/Cepat saji,"['Sate BarBar Ayam Ala Carte', 'Ayam Geprul Dahsyat', 'Makmur 2', 'Burger BarBar Beef', 'Ayam Geprul 2']","Lazizaa di Kemangsen Krian adalah tempat yang tepat untuk Anda pecinta ayam dan bebek, serta aneka nasi cepat saji. Dengan menu variatif yang menggugah selera, Anda dapat menikmati berbagai hidangan seperti Sate BarBar Ayam Ala Carte dan Ayam Geprul Dahsyat, yang siap memanjakan lidah Anda. Nikmati pengalaman bersantap yang cepat dan lezat di sini!"
"Lesehan 8000, Panjunan Raya",Ayam & bebek/Seafood/Aneka nasi,"['CHICKEN POP KOREAN SPICY', 'Ayam Pedas Manis', 'Nasi Gurame Bakar', 'NASI LELE GEPREK', 'Udang Pedas Manis']","Lesehan 8000 di Panjunan Raya menawarkan pengalaman kuliner yang menggugah selera dengan berbagai pilihan ayam, bebek, seafood, dan aneka nasi. Nikmati hidangan khas seperti CHICKEN POP KOREAN SPICY dan Nasi Gurame Bakar yang siap memanjakan lidah Anda. Dengan cita rasa yang kaya dan bervariasi, Lesehan 8000 adalah pilihan tepat untuk pecinta masakan lezat."
"Lukumades, Pakuwon Mall",Minuman/Jajanan/Sweets,"['Vanilla', 'Matcha', 'Lotus Crunch - Regular (10 Balls)', 'Espresso', 'Ice Blended Irish Chocolate']","Lukumades di Pakuwon Mall menyajikan beragam jajanan manis yang menggugah selera, mulai dari minuman segar hingga camilan lezat. Nikmati berbagai pilihan rasa seperti Vanilla dan Matcha, serta sajian khas kami seperti Lotus Crunch yang disajikan dalam bola-bola menggoda. Setiap produk kami diracik dengan berkualitas untuk memanjakan lidah Anda di setiap gigitan."
